#{"t_start": 1782840714.3012211, "env_id": "None"}
r,l,t
-6130.865183,40,33.183036
-5744.654059,40,33.252741
-6334.06826,40,33.324044
-5995.487598,40,33.395033
-5785.332786,40,33.462556
-5922.876801,40,33.530238
-6176.566295,40,33.599268
-6129.068437,40,33.669648
-6117.62824,40,33.738834
-6071.254354,40,33.806835
-5774.409544,40,33.875573
-5633.223096,40,33.94644
-6660.633042,40,34.017732
-5908.597139,40,34.08637
-6122.214345,40,34.155886
-6023.357253,40,34.223939
-6953.249806,40,34.295655
-6047.716525,40,34.373637
-6109.664266,40,34.469187
-6919.495801,40,34.538578
-7019.781028,40,34.609097
-6913.232751,40,34.682386
-5812.347865,40,34.754491
-5873.576232,40,34.823799
-5900.965146,40,34.892895
-6406.712196,40,34.963015
-6486.634851,40,35.031883
-5895.040405,40,35.102089
-5055.691069,40,35.175214
-4571.661232,40,35.24546
-4001.418643,40,35.317079
-4633.855735,40,35.394545
-5650.358005,40,35.468086
-5124.933056,40,35.539469
-5569.812059,40,35.611226
-6216.905084,40,35.681835
-5626.250674,40,35.749907
-5999.600968,40,35.820406
-6209.132004,40,35.890806
-5971.208933,40,35.96121
-5011.456528,40,36.032417
-4839.189208,40,36.109859
-5240.891837,40,36.179744
-4889.602299,40,36.247665
-4963.215468,40,36.315677
-5480.166185,40,36.388147
-4952.337324,40,36.455966
-5274.494068,40,36.524246
-5533.291297,40,36.598059
-5533.500567,40,36.666263
-5183.132913,40,36.735269
-5077.710733,40,36.812203
-5077.958435,40,36.886088
-4795.377166,40,36.963703
-5728.945573,40,37.042548
-5451.808033,40,37.118137
-4947.095444,40,37.194914
-5629.443788,40,37.274179
-4771.403459,40,37.353977
-5402.259236,40,37.43324
-5161.316098,40,37.510055
-5449.662858,40,37.589565
-4736.010681,40,37.666079
-4993.476864,40,37.744168
-5930.731148,40,37.821569
-6502.874205,40,37.898021
-6867.032519,40,37.974713
-6732.441582,40,38.052707
-6230.067781,40,38.131428
-5688.666464,40,38.210682
-6146.985623,40,38.286176
-6127.668359,40,38.366903
-5503.160833,40,38.441856
-5157.160925,40,38.516861
-5332.051259,40,38.592133
-5623.995306,40,38.668007
-6143.535714,40,38.74317
-6014.50806,40,38.826504
-6050.703384,40,38.896188
-6555.328629,40,38.96623
-6060.206789,40,39.036299
-6829.721123,40,39.110879
-6837.307219,40,39.181406
-6189.238145,40,39.253231
-6429.796158,40,39.32595
-6345.422449,40,39.396905
-5325.619814,40,39.467921
-6118.768741,40,39.540669
-5608.5828,40,39.610986
-6042.61693,40,39.681483
-6719.363034,40,39.753484
-5842.205096,40,39.825221
-6636.803126,40,39.89729
-5941.941073,40,39.966166
-6798.34792,40,40.036596
-5605.269369,40,40.107635
-5860.040731,40,40.177699
-6171.799518,40,40.250067
-6718.788602,40,40.320506
-6134.736094,40,40.392348
-6432.617251,40,40.461553
-7459.455165,40,40.541056
-7010.778079,40,40.609838
-7032.855459,40,40.679781
-7032.63503,40,40.750343
-6686.784969,40,40.824518
-6486.97521,40,40.894581
-7096.636058,40,40.964393
-7093.033304,40,41.036002
-7165.187171,40,41.105529
-7165.729706,40,41.174571
-4888.941781,40,41.252735
-5725.637797,40,41.351808
-6165.77486,40,41.421698
-6508.589811,40,41.494061
-6856.434114,40,41.564618
-6355.890003,40,41.635292
-7094.072145,40,41.706928
-6706.524027,40,41.778225
-6148.305814,40,41.848922
-5775.440238,40,41.919075
-4548.264859,40,42.053067
-5148.829798,40,42.126431
-5681.018571,40,42.196349
-6124.287402,40,42.26634
-6585.626582,40,42.344447
-6612.672442,40,42.475634
-6479.460336,40,42.550143
-6771.604767,40,42.627143
-7123.439262,40,42.703846
-6663.340142,40,42.791976
-6689.364737,40,42.873038
-7471.612662,40,42.948765
-7112.220886,40,43.026697
-7652.625106,40,43.103518
-7102.795589,40,43.181195
-6557.977068,40,43.256271
-6309.170434,40,43.332666
-6463.187071,40,43.405535
-6270.614514,40,43.479222
-5529.647604,40,43.552554
-6142.533118,40,43.62932
-5470.230419,40,43.718833
-5924.074186,40,43.802347
-6127.303346,40,43.886715
-6419.886515,40,44.005271
-5119.813518,40,44.149354
-5990.202348,40,44.230383
-7323.574437,40,44.310144
-6169.476592,40,44.391994
-7491.185762,40,44.470933
-7371.152995,40,44.551117
-6663.007365,40,44.632074
-7859.587137,40,44.712435
-7370.954173,40,44.79345
-7739.134902,40,44.886423
-6815.080801,40,44.959897
-5800.080213,40,45.02984
-6013.676444,40,45.101046
-5943.560207,40,45.169016
-6201.500177,40,45.238935
-5994.427957,40,45.309986
-4931.594716,40,45.380886
-5486.648491,40,45.450299
-5622.710708,40,45.520636
-6554.823479,40,45.589848
-6344.135963,40,45.659409
-6691.656191,40,45.727825
-6413.87287,40,45.795964
-5907.643618,40,45.868575
-5784.592481,40,45.939269
-6392.362719,40,46.010974
-5574.178912,40,46.08109
-6259.176287,40,46.151099
-7126.183825,40,46.22088
-6126.277304,40,46.289078
-5994.267975,40,46.359688
-6074.353116,40,46.430354
-5767.331544,40,46.516264
-5641.54353,40,46.58512
-5515.819213,40,46.656499
-5338.766726,40,46.726698
-5444.178709,40,46.796514
-5657.099493,40,46.872431
-5544.715986,40,46.945386
-4800.630296,40,47.025651
-5257.703912,40,47.094386
-5869.080542,40,47.176183
-6836.172839,40,47.24528
-7241.163789,40,47.339374
-6649.999053,40,47.405772
-5601.954223,40,47.487886
-4681.549827,40,47.583891
-4939.476626,40,47.651951
-5197.48524,40,47.719986
-6064.070928,40,47.790744
-4312.871371,40,47.873551
-4008.909212,40,47.942017
-4922.114953,40,48.013051
-4648.49142,40,48.082741
-5328.469545,40,48.153345
-5799.79267,40,48.222451
-4702.024368,40,48.292614
-5182.268244,40,48.360169
-6104.446213,40,48.428732
-5023.610873,40,48.496265
-6136.77529,40,48.565343
-5310.035768,40,48.632565
-6376.853926,40,48.702034
-6057.509735,40,48.769441
-5669.850071,40,48.839808
-5917.28667,40,48.909939
-5703.107744,40,48.97787
-5725.832585,40,49.048319
-5726.468851,40,49.11799
-5722.362182,40,49.18719
-5791.643878,40,49.254964
-6752.678854,40,49.323638
-6494.851651,40,49.394392
-7048.435583,40,49.462018
-6355.21989,40,49.529398
-6010.017608,40,49.599342
-5582.233073,40,49.667382
-5868.209896,40,49.735226
-5088.532453,40,49.805078
-5272.309278,40,49.8739
-6254.066382,40,49.942503
-6452.756438,40,50.011727
-6316.529838,40,50.078929
-6288.014132,40,50.14847
-6268.159951,40,50.216546
-7294.468176,40,50.286577
-6753.784662,40,50.356549
-6539.018984,40,50.424872
-7195.57346,40,50.493467
-6451.312414,40,50.561062
-6217.349985,40,50.628511
-6069.483667,40,50.697217
-6867.592025,40,50.765568
-5607.572111,40,50.834796
-4495.395332,40,50.904129
-5016.054798,40,50.974125
-6182.249982,40,51.042395
-5698.756305,40,51.109689
-6990.789862,40,51.177532
-6734.706591,40,51.244581
-6897.788739,40,51.314677
-7075.108445,40,51.382037
-6863.618071,40,51.450514
-6703.276303,40,51.519498
-6174.019832,40,51.590669
-6579.255925,40,51.659472
-6423.865676,40,51.728921
-6448.746027,40,51.797509
-6572.753712,40,51.866411
-6756.773667,40,51.934416
-6933.593469,40,52.0031
-7596.312507,40,52.073201
-7275.20272,40,52.143688
-7192.940235,40,52.212563
-7036.007193,40,52.287218
-7087.692309,40,52.377073
-7136.27545,40,52.451813
-7285.100354,40,52.522226
-6906.064877,40,52.592012
-7640.888033,40,52.661826
-7252.73404,40,52.728858
-6711.455212,40,52.799892
-7314.781205,40,52.870772
-6909.164914,40,52.94138
-6887.530956,40,53.011674
-6888.485177,40,53.08329
-6105.976252,40,53.154182
-7496.853342,40,53.225743
-7165.549444,40,53.29359
-6750.19342,40,53.363164
-6656.216804,40,53.431446
-6675.836698,40,53.503575
-6642.165688,40,53.571661
-5970.40873,40,53.640185
-6265.388662,40,53.708123
-5594.914533,40,53.775171
-5755.307219,40,53.84502
-6680.751472,40,53.91275
-6450.568619,40,53.982952
-5995.449825,40,54.055239
-6684.990071,40,54.124291
-6476.866286,40,54.193483
-5755.140845,40,54.265907
-5606.214912,40,54.332343
-5656.774238,40,54.419782
-6341.135363,40,54.506171
-6198.854006,40,54.573703
-5477.131781,40,54.657592
-5519.298275,40,54.725274
-5736.53972,40,54.796963
-5527.763499,40,54.873592
-5072.758864,40,54.951043
-5373.459842,40,55.024794
-5424.192889,40,55.099617
-5760.527363,40,55.188447
-5724.653947,40,55.266747
-5886.783145,40,55.349005
-6387.276324,40,55.428923
-6139.04792,40,55.501537
-6178.197531,40,55.570346
-6409.228725,40,55.645586
-6822.396662,40,55.715006
-7235.746638,40,55.793113
-6687.650429,40,55.913485
-6193.337792,40,56.016829
-6702.366612,40,56.109457
-6082.075153,40,56.2043
-6081.646973,40,56.307888
-5947.506083,40,56.392745
-6447.309941,40,56.472461
-6743.941112,40,56.55356
-6675.077363,40,56.632223
-6394.730961,40,56.724903
-6215.92623,40,56.841076
-6537.798012,40,56.951255
-6560.679495,40,57.095555
-6330.48947,40,57.184651
-5806.474059,40,57.27458
-5972.697069,40,57.356399
-5898.211491,40,57.436612
-5922.407131,40,57.520222
-5877.349999,40,57.611893
-5641.396224,40,57.713246
-5878.098104,40,57.808656
-6137.069968,40,57.889478
-5902.103605,40,57.972239
-5901.359343,40,58.055849
-5828.499603,40,58.139436
-5455.979072,40,58.226188
-5901.622083,40,58.306299
-5272.832454,40,58.38845
-5919.054199,40,58.477344
-4809.16646,40,58.560395
-5548.06668,40,58.668952
-4378.85307,40,58.770547
-4146.135986,40,58.88209
-4441.746617,40,58.977887
-5242.123861,40,59.079226
-4815.097134,40,59.170525
-5480.143963,40,59.261787
-4927.50756,40,59.353865
-4483.787273,40,59.433252
-4487.034753,40,59.513153
-4481.334907,40,59.590174
-4538.519103,40,59.667751
-5642.307567,40,59.752989
-5580.125509,40,59.833442
-5876.136707,40,59.911082
-4891.413159,40,59.993427
-5555.582605,40,60.079467
-5344.523333,40,60.169991
-5322.365835,40,60.264319
-5211.52072,40,60.382652
-5738.058583,40,60.465557
-5939.862489,40,60.560578
-5539.733934,40,60.645449
-5052.488552,40,60.724483
-6114.064901,40,60.818804
-6203.56291,40,60.895697
-6891.945759,40,60.981947
-5715.065125,40,61.062355
-5355.981232,40,61.14655
-5246.294545,40,61.228384
-4968.18844,40,61.326036
-5140.153514,40,61.408825
-5188.958173,40,61.48999
-5072.488274,40,61.581655
-5050.071353,40,61.660197
-3638.222019,40,61.751369
-3832.618553,40,61.828636
-4387.680158,40,61.9102
-4012.043156,40,62.002847
-4661.133161,40,62.085545
-6235.602674,40,62.167003
-5441.742825,40,62.245968
-5786.717413,40,62.343054
-5341.206852,40,62.420287
-5501.265567,40,62.503507
-4659.175661,40,62.593264
-5294.058853,40,62.675049
-5718.417684,40,62.75995
-5572.722475,40,62.840468
-5585.521758,40,62.948959
-5953.304366,40,63.042414
-6152.699807,40,63.120667
-5771.373942,40,63.200959
-5247.800665,40,63.292866
-5602.930183,40,63.371599
-5602.680286,40,63.450181
-6044.095018,40,63.54445
-5983.037509,40,63.62556
-5748.104422,40,63.723631
-5995.5013,40,63.803911
-6119.609992,40,63.886785
-6214.171657,40,63.968832
-6271.616504,40,64.054755
-5681.566984,40,64.144101
-6294.479259,40,64.221846
-5500.591345,40,64.304514
-6509.747757,40,64.385316
-6499.196388,40,64.463351
-6321.614947,40,64.560627
-6321.639718,40,64.645909
-5609.489947,40,64.725414
-5601.303011,40,64.803651
-5525.920103,40,64.883912
-4861.342762,40,64.965533
-5383.786933,40,65.042019
-5719.09242,40,65.124469
-6108.815819,40,65.206429
-6107.823511,40,65.287004
-6501.931145,40,65.384616
-6492.077182,40,65.463971
-5980.493815,40,65.544187
-5586.600403,40,65.629975
-5605.543359,40,65.712469
-5392.672934,40,65.79207
-5980.020439,40,65.873593
-5615.451774,40,65.954227
-4763.957664,40,66.040314
-6056.258269,40,66.130056
-5636.760864,40,66.209571
-6072.870299,40,66.291253
-6349.042031,40,66.371846
-5691.042666,40,66.451144
-6059.895177,40,66.535019
-6050.591014,40,66.616314
-6435.769493,40,66.698772
-5523.343459,40,66.777509
-5456.953592,40,66.857259
-6099.379152,40,66.947608
-6134.496877,40,67.030739
-5268.104,40,67.115901
-5806.945487,40,67.19418
-5807.719588,40,67.27664
-5255.279204,40,67.408561
-6672.155102,40,67.507447
-7077.292182,40,67.588855
-6707.988716,40,67.666259
-7226.219684,40,67.752373
-7152.588919,40,67.832904
-6606.956535,40,67.919005
-6707.426073,40,68.001646
-7031.781615,40,68.080238
-7030.002257,40,68.157497
-6589.514487,40,68.2378
-5721.027803,40,68.31828
-7033.636259,40,68.414385
-6269.071725,40,68.493664
-4962.641149,40,68.574268
-6608.208058,40,68.662509
-5410.734934,40,68.755327
-5016.136656,40,68.837101
-5579.325478,40,68.928348
-5455.008841,40,69.008176
